ingredient_count,total_weight_grams,has_milk,has_sugar,has_rice,has_dal,has_paneer,has_ghee,has_butter,has_cream,has_oil,has_onion,has_tomato,has_potato,has_chicken,has_vegetables,dairy_grams,grain_grams,protein_source_grams,fat_source_grams,vegetable_grams,spice_grams,rich_ingredient_count,recipe_code,calories,protein,carbs,fats,sodium
9,138.85,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10.0,60.0,0.0,10.0,33.4,12.5,1,ASC036,244.2624969482422,4.473674774169922,23.201412200927734,15.398404121398926,342.6957702636719
8,118.75,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10.0,60.0,25.0,10.0,20.0,12.5,1,ASC037,222.1063690185547,7.655546188354492,25.903024673461914,10.509202003479004,423.25872802734375
5,119.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10.0,60.0,0.0,10.0,0.0,10.0,1,ASC038,244.2458038330078,4.985423564910889,39.24372863769531,8.153898239135742,205.27084350585938
7,153.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40.0,60.0,0.0,15.0,0.0,17.5,1,ASC039,227.4191131591797,7.785544395446777,21.012937545776367,13.008052825927734,456.57122802734375
7,153.75,0,0,0,0,0,0,1,0,0,0,1,0,0,0,40.0,60.0,0.0,15.0,50.0,17.5,1,ASC040,224.5795135498047,6.821847915649414,21.415576934814453,12.951947212219238,457.93756103515625
10,182.375,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.0,60.0,0.0,10.0,100.0,2.5,0,ASC041,164.90065002441406,4.604915618896484,25.16836166381836,5.42716121673584,262.6282043457031
10,182.375,0,0,0,0,1,0,0,0,1,0,0,0,0,1,80.0,60.0,80.0,10.0,20.0,2.5,1,ASC042,249.55572509765625,12.400134086608887,24.052186965942383,11.975685119628906,268.897705078125
7,172.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10.0,60.0,60.0,0.0,20.0,2.5,0,ASC043,167.36798095703125,12.081052780151367,18.81935691833496,5.315614223480225,327.54876708984375
9,171.155,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,60.0,0.0,0.0,40.0,2.5,0,ASC044,171.77516174316406,11.055025100708008,20.25550651550293,5.611410140991211,290.0722961425781
15,448.5,0,0,0,0,0,0,1,1,1,0,1,0,0,0,75.0,120.0,50.0,27.5,100.0,25.0,2,ASC045,200.83099365234375,6.73637580871582,18.491588592529297,11.56259536743164,277.4922180175781
14,511.25,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0.0,65.0,0.0,242.5,160.0,2.5,0,ASC046,495.18634033203125,1.8990991115570068,11.146966934204102,49.378177642822266,128.7751922607422
5,405.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,250.0,20.0,0.0,5.0,0.0,0.0,0,ASC047,81.56513977050781,2.6426796913146973,8.870967864990234,4.0806450843811035,15.893301010131836
3,280.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,250.0,20.0,0.0,0.0,0.0,0.0,0,ASC048,100.89435577392578,3.750359535217285,12.38705062866211,4.082014083862305,23.20575523376465
4,400.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,250.0,0.0,0.0,0.0,0.0,0.0,0,ASC050,72.85364532470703,2.595477342605591,8.766331672668457,3.2211055755615234,16.143217086791992
3,280.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,240.0,0.0,0.0,0.0,0.0,0.0,0,ASC051,117.32661437988281,3.59136700630188,14.948201179504395,5.119424343109131,26.548200607299805
3,280.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,240.0,30.0,0.0,0.0,0.0,0.0,0,ASC052,112.4402847290039,3.6172661781311035,15.568704605102539,3.990647315979004,22.402158737182617
3,280.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,240.0,30.0,0.0,0.0,0.0,0.0,0,ASC053,112.4402847290039,3.6172661781311035,15.568704605102539,3.990647315979004,22.402158737182617
3,280.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,240.0,30.0,0.0,0.0,0.0,0.0,0,ASC054,113.31719207763672,3.6205034255981445,15.66906452178955,4.042446136474609,22.521942138671875
3,280.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,240.0,30.0,0.0,0.0,0.0,0.0,0,ASC055,113.31719207763672,3.6205034255981445,15.66906452178955,4.042446136474609,22.521942138671875
4,152.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,2.5,0,ASC056,45.3546028137207,4.430860996246338,0.11993376910686493,3.0388741493225098,170.94065856933594
4,60.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,50.0,7.5,0.0,2.5,0,ASC057,223.66744995117188,11.585453987121582,0.3135930597782135,19.62242317199707,446.96173095703125
5,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,5.0,0,ASC058,123.86688232421875,11.97607135772705,0.3662499785423279,8.194107055664062,1163.0721435546875
5,72.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20.0,0.0,50.0,5.0,0.0,7.5,1,ASC059,155.97100830078125,10.290857315063477,1.3515714406967163,12.212428092956543,374.6562805175781
6,102.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.0,30.0,50.0,5.0,0.0,7.5,1,ASC060,218.84698486328125,11.881781578063965,15.416930198669434,12.652177810668945,523.2875366210938
5,147.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15.0,0.0,100.0,30.0,0.0,2.5,0,ASC061,272.4109802246094,9.664055824279785,0.6448251605033875,25.74034881591797,226.181396484375
11,267.5,1,0,0,0,0,0,1,0,1,1,1,0,0,0,45.0,0.0,100.0,35.0,50.0,7.5,1,ASC062,203.51486206054688,8.602519035339355,2.3019466400146484,17.774503707885742,267.1867980957031
5,172.85,1,0,0,0,0,0,0,0,1,0,0,0,0,0,100.0,40.0,16.6,15.0,0.0,1.25,0,ASC063,203.35560607910156,5.68212890625,20.48965072631836,10.816617012023926,143.6984100341797
13,448.28,1,0,0,0,0,0,1,0,1,1,1,0,0,0,115.0,40.0,16.6,30.0,100.0,18.75,1,ASC064,176.2749786376953,9.006999969482422,9.559337615966797,11.245588302612305,125.39991760253906
14,472.85,1,0,0,0,0,0,1,0,1,0,1,1,0,1,115.0,40.0,16.6,30.0,282.5,17.5,1,ASC065,125.17634582519531,3.865659475326538,12.23516845703125,6.573175430297852,116.69419860839844
10,277.85,1,0,0,0,0,0,0,0,1,0,0,0,0,0,100.0,47.5,16.6,15.0,0.0,1.25,0,ASC066,162.0184326171875,3.791611433029175,20.727575302124023,7.008038520812988,93.08523559570312
10,289.1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,100.0,40.0,16.6,15.0,0.0,1.25,0,ASC067,271.980712890625,6.979613304138184,27.323190689086914,15.294413566589355,101.00405883789062
8,974.775,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,20.0,4.375,0,ASC068,21.324813842773438,1.9483927488327026,0.2517152726650238,1.3840610980987549,44.59760284423828
9,834.975,0,0,0,0,0,0,1,0,0,1,0,0,0,1,15.0,0.0,0.0,15.0,70.0,19.375,1,ASC069,17.604402542114258,0.2996930778026581,0.9595896005630493,1.377679467201233,49.74882507324219
6,1508.3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,250.0,0.0,50.0,7.5,0,ASC070,29.880197525024414,3.6864609718322754,0.36780157685279846,1.5104801654815674,58.579917907714844
3,270.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,255.0,15.0,0.0,15.0,0.0,15.0,1,ASC071,115.16873931884766,3.312936544418335,6.578080654144287,8.407753944396973,23.912399291992188
3,300.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,270.0,30.0,0.0,30.0,0.0,30.0,1,ASC072,151.2744140625,3.358149528503418,7.977153301239014,11.762419700622559,22.590604782104492
3,360.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,300.0,60.0,0.0,60.0,0.0,60.0,1,ASC073,209.69386291503906,3.4313042163848877,10.240869522094727,17.190311431884766,20.45192527770996
